Code,Site,year,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,,,,,,,,,,,
AzH 19-8,AzH,2019,134,140,0,0,0,0,91,100,86,86,146,146,133,133,,,,,,,,,,
AzH 19-9a,AzH,2019,134,134,0,0,144,148,88,91,86,86,144,144,133,139,,,,,,,,,,
AzH 19-9,AzH,2019,134,134,114,118,148,148,88,91,88,88,146,146,136,154,,,,,,,,,,
ALW 19-1a,AL-West,2019,134,140,116,116,148,148,88,91,86,90,146,146,139,139,,,,,,,,,,
ALW 19-1,AL-West,2019,134,134,116,116,148,148,91,91,86,86,146,146,136,136,,,,,,,,,,
ALW 19-10,AL-West,2019,134,134,114,114,148,156,85,88,92,96,146,146,133,139,,,,,,,,,,
ALW 19-11a,AL-West,2019,134,134,118,122,148,152,88,91,88,90,146,146,133,139,,,,,,,,,,
ALW 19-11,AL-West,2019,134,134,114,122,148,152,91,91,86,90,146,146,133,133,,,,,,,,,,
ALW 19-12,AL-West,2019,134,144,116,116,0,0,0,0,86,86,146,146,133,139,,,,,,,,,,
ALW 19-13a,AL-West,2019,134,134,98,118,0,0,0,0,90,90,146,146,136,136,,,,,,,,,,
ALW 19-13,AL-West,2019,134,134,98,118,148,148,91,91,90,90,144,146,136,136,,,,,,,,,,
ALW 19-14,AL-West,2019,134,134,116,118,148,148,88,91,86,88,146,146,139,160,,,,,,,,,,
ALW 19-15a,AL-West,2019,134,134,114,116,148,152,88,91,86,90,146,146,133,133,,,,,,,,,,
ALW 19-15,AL-West,2019,134,134,114,116,148,152,88,91,88,88,146,146,133,133,,,,,,,,,,
ALW 19-2b,AL-West,2019,134,134,118,118,148,148,0,0,90,90,146,146,133,136,,,,,,,,,,
ALW 19-2,AL-West,2019,134,134,116,116,148,148,88,91,88,88,146,146,133,133,,,,,,,,,,
ALW 19-2a,AL-West,2019,134,134,116,116,148,148,88,91,84,86,148,148,133,133,,,,,,,,,,
ALW 19-3,AL-West,2019,134,134,116,122,148,148,88,91,88,88,144,146,133,133,,,,,,,,,,
ALW 19-3a,AL-West,2019,134,134,118,122,148,148,88,91,86,86,144,148,133,160,,,,,,,,,,
ALW 19-4,AL-West,2019,134,140,116,116,148,148,88,91,86,90,146,146,139,139,,,,,,,,,,
ALW 19-5a,AL-West,2019,126,126,116,116,0,0,0,0,86,88,146,146,133,136,,,,,,,,,,
ALW 19-5,AL-West,2019,134,134,114,116,0,0,85,88,90,90,144,146,133,136,,,,,,,,,,
ALW 19-6a,AL-West,2019,134,134,118,122,148,148,88,91,86,86,146,146,136,139,,,,,,,,,,
ALW 19-6,AL-West,2019,134,134,118,122,148,148,82,82,84,84,144,146,136,139,,,,,,,,,,
ALW 19-7a,AL-West,2019,134,134,118,118,0,0,85,91,86,86,146,146,133,139,,,,,,,,,,
ALW 19-7,AL-West,2019,134,134,118,118,148,148,88,91,86,86,146,146,133,139,,,,,,,,,,
ALW 19-8,AL-West,2019,134,134,116,118,148,148,88,91,86,86,146,146,133,136,,,,,,,,,,
ALW 19-9,AL-West,2019,134,134,116,118,148,148,88,88,86,90,146,146,133,133,,,,,,,,,,
SGR 19-1a,SGR,2019,134,134,110,110,148,148,0,0,86,88,146,146,136,136,,,,,,,,,,
SGR 19-1,SGR,2019,128,134,116,116,148,158,88,97,86,86,144,144,136,139,,,,,,,,,,
SGR 19-10,SGR,2019,128,134,116,118,152,152,85,88,86,88,146,146,136,139,,,,,,,,,,
SGR 19-11,SGR,2019,128,134,116,118,148,148,88,88,86,86,146,150,148,148,,,,,,,,,,
SGR 19-12,SGR,2019,128,134,116,116,148,148,88,100,88,90,144,146,136,160,,,,,,,,,,
SGR 19-2a,SGR,2019,128,134,0,0,152,152,88,97,88,88,144,144,139,139,,,,,,,,,,
SGR 19-2,SGR,2019,128,134,116,116,152,152,85,97,88,88,144,144,136,145,,,,,,,,,,
